https://www.4icu.org/in/indian-universities.htm
List of Indian Universities
Rank	University	Location
104	Post Graduate Institute of Medical Education and Research	Chandigarh
507	Potti Sreeramulu Telugu University	Hyderabad
837	Pragyan International University	Ranchi
729	Pratap University	Jaipur
354	Pravara Institute of Medical Sciences	Loni
611	Presidency University	Bangalore
216	Presidency University	Kolkata
447	Professor Jayashankar Telangana State Agricultural University	Hyderabad
248	Pt. Bhagwat Dayal Sharma University of Health Sciences	Rohtak
170	Punjab Agricultural University	Ludhiana
162	Punjab Technical University	Kapurthala
157	Punjabi University	Patiala
748	Quantum University	Roorkee
383	Rabindra Bharati University	Kolkata
710	Raffles University	Neemrana
792	Rai Technology University	Doddaballapura
487	Rai University	Dholka
725	Raiganj University	Raiganj
536	Raj Rishi Bharthari Matsya University	Alwar
801	Raja Mansingh Tomar Music and Arts University	Gwalior
141	Rajasthan Technical University Kota	Kota
256	Rajasthan University of Health Sciences	Jaipur
406	Rajasthan University of Veterinary and Animal Sciences	Bikaner
395	Rajiv Gandhi Institute of Petroleum Technology	Raebareli
863	Rajiv Gandhi National Aviation University	Raebareli
